Full Name,Email,Phone Number,Internal ID,Role,Tags (comma separated names)
Hulda Martita,cubad@test.com,954-705-8991,91ae5b33-c0b0-4621-bc06-14b20fa65813,Senior Editor,Maroon
Sharleen Laurella,kirjis@test.com,125-753-2604,2d348358-1e19-4584-98c8-ea6d9fd25f24,Accounting Assistant III,Mauv
Brietta Maxwell,rejme@test.com,991-976-5351,7c551fc2-e3a6-4f16-be5b-fb4a781bbba2,Environmental Tech,Aquamarine
Linnet Renado,hoba@test.com,781-407-2882,214531e1-4527-462c-8b10-f42f5a664007,Legal Assistant,Maroon
Augustine Alyson,remju@test.com,981-267-6622,ccce6cd1-615a-4ac1-8d9a-10f09129c6f7,Human Resources Assistant II,Yellow
Brianne Kipp,vov@test.com,809-143-1923,5e40f8fd-ada2-48a6-9a28-94c7814d1356,Clinical Specialist,Blue
Melva Antoine,iz@test.com,847-600-2014,d771b05e-b1a7-4074-8cc0-85a1becd7a9d,VP Quality Control,Turquoise
Robinet Linnette,geco@test.com,182-248-7619,bd881520-4d71-4f23-b041-d33db4267f28,Statistician I,Indigo
Eada Muhammad,na@test.com,356-226-2272,13472f76-feb1-458b-8851-6dc229d52582,Senior Sales Associate,Crimson
Karissa Cupo,ze@test.com,153-924-8555,6bfdbc18-e1af-4a8c-b3e1-151e54f8a879,Help Desk Technician,Red
